,주소,lat,lng
1608,서울특별시 강남구 압구정로29길 68,37.5320757,127.0284556
1610,서울특별시 강남구 압구정로 201,37.5300542,127.028845
1622,서울특별시 강남구 압구정로 309,37.5307261,127.0352887
1626,서울특별시 강남구 선릉로69길 20,37.4987189,127.0499436
1639,서울특별시 강남구 논현로63길 16,37.4921786,127.0379488
1644,서울특별시 강남구 테헤란로10길 10,37.4983635,127.0322491
1646,서울특별시 강남구 도곡로19길 17,37.492706,127.037792
1648,서울특별시 강남구 역삼로 315-1,37.5005166,127.0502997
1650,서울특별시 강남구 역삼로 306,37.498551,127.0464387
1655,서울특별시 강남구 역삼로 314,37.4996497,127.0499488
1656,서울특별시 강남구 언주로63길 30,37.4942113,127.0437391
1657,서울특별시 강남구 도곡로33길 16,37.4943792,127.0434418
1661,서울특별시 강남구 도곡로17길 12,37.492139,127.0375324
1662,서울특별시 강남구 언주로85길 13,37.5002722,127.0423465
1667,서울특별시 강남구 언주로63길 32,37.4941886,127.043494
1668,서울특별시 강남구 도곡로7길 22,37.4920581,127.0349054
1669,서울특별시 강남구 언주로 316,37.4960577,127.0463178
1671,서울특별시 강남구 역삼로25길 27,37.4978993,127.0389649
1679,서울특별시 강남구 언주로 427,37.5013456,127.0427038
1702,서울특별시 강남구 강남대로84길 33,37.497514,127.0310602
1714,서울특별시 강남구 선릉로 423,37.50246,127.0493726
1720,서울특별시 강남구 도곡로43길 20,37.4964269,127.0482989
1723,서울특별시 강남구 도곡로43길 21,37.4953338,127.0472735
1730,서울특별시 강남구 도곡로 306,37.494188,127.0478806
1731,서울특별시 강남구 역삼로 309,37.5005387,127.0475603
1736,서울특별시 강남구 테헤란로21길 18,37.5015033,127.034518
1737,서울특별시 강남구 도곡로13길 19,37.4923761,127.0356714
1738,서울특별시 강남구 논현로64길 28,37.4936263,127.0426022
1740,서울특별시 강남구 언주로75길 22,37.498545,127.042467
1741,서울특별시 강남구 역삼로 171,37.4956162,127.0378689
1742,서울특별시 강남구 선릉로107길 24,37.5091135,127.0421408
1744,서울특별시 강남구 역삼로 240,37.4973382,127.0427685
1745,서울특별시 강남구 언주로 555,37.507136,127.0391824
1746,서울특별시 강남구 테헤란로4길 46,37.4953323,127.0303725
1750,서울특별시 강남구 역삼로34길 25,37.4955878,127.0429209
1751,서울특별시 강남구 역삼로 307,37.4994913,127.0466111
1768,서울특별시 강남구 테헤란로4길 32,37.4962612,127.0301445
1769,서울특별시 강남구 도곡로21길 15,37.492872,127.0385826
1770,서울특별시 강남구 봉은사로 312,37.5091876,127.0412814
1773,서울특별시 강남구 강남대로 324,37.4921103,127.03094
1775,서울특별시 강남구 선릉로69길 19,37.4972705,127.0502289
1795,서울특별시 강남구 언주로103길 14,37.5066825,127.0388229
1796,서울특별시 강남구 도곡로7길 23,37.4920086,127.0340341
1798,서울특별시 강남구 테헤란로48길 10,37.5025992,127.0458512
1801,서울특별시 강남구 논현로70길 14,37.4951525,127.0409101
1802,서울특별시 강남구 언주로 420,37.5091043,127.0400763
1808,서울특별시 강남구 언주로 332,37.4976537,127.0467951
1816,서울특별시 강남구 역삼로25길 21,37.4976832,127.0409653
1823,서울특별시 강남구 언주로90길 6,37.502153,127.0437204
1824,서울특별시 강남구 언주로90길 4,37.5021021,127.0435446
1832,서울특별시 강남구 언주로86길 25,37.5024464,127.045118
1833,서울특별시 강남구 선릉로87길 14,37.5030841,127.0483309
1838,서울특별시 강남구 테헤란로14길 13,37.4985365,127.0334638
1848,서울특별시 강남구 언주로86길 7,37.5017808,127.043931
1851,서울특별시 강남구 테헤란로52길 16,37.5030366,127.0479111
1859,서울특별시 강남구 도곡로57길 9-7,37.4960895,127.0503784
1863,서울특별시 강남구 역삼로25길 17,37.497299,127.0393853
1864,서울특별시 강남구 테헤란로13길 31-7,37.5012865,127.0312569
1865,서울특별시 강남구 도곡로3길 26,37.4918016,127.0329659
1873,서울특별시 강남구 테헤란로25길 58,37.5042391,127.0345439
1875,서울특별시 강남구 언주로86길 11,37.5019467,127.0442817
1891,서울특별시 강남구 언주로86길 12,37.501419,127.0448721
1896,서울특별시 강남구 역삼로34길 12,37.496308,127.0421766
1897,서울특별시 강남구 논현로 565,37.5064572,127.0337383
1900,서울특별시 강남구 밤고개로26길 50,37.4737808,127.1065697
1904,서울특별시 강남구 밤고개로27길 20,37.4737808,127.1065697
1905,서울특별시 강남구 일원로 127,37.4824572,127.0852937
1911,서울특별시 강남구 개포로110길 43,37.4911668,127.0794836
1914,서울특별시 강남구 영동대로 22,37.5106543,127.0634905
1920,서울특별시 강남구 개포로110길 38,37.4905083,127.0792227
1924,서울특별시 강남구 개포로110길 50,37.4905083,127.0792227
1937,서울특별시 강남구 광평로19길 15,37.4849458,127.0851548
1945,서울특별시 강남구 개포로124길 27,37.4929232,127.0836971
1946,서울특별시 강남구 광평로10길 15,37.4819336,127.082142
1956,서울특별시 강남구 일원로 120,37.4842931,127.082553
1961,서울특별시 강남구 양재대로55길 12,37.492615,127.0902134
1968,서울특별시 강남구 개포로110길 15,37.492341,127.0781235
1975,서울특별시 강남구 일원로14길 25,37.4838213,127.0802998
2001,서울특별시 강남구 광평로10길 6,37.4818107,127.0777022
2008,서울특별시 강남구 자곡로 260,37.474172,127.0950243
2031,서울특별시 강남구 자곡로 101,37.4719322,127.0949621
2047,서울특별시 강남구 밤고개로21길 25,37.4737808,127.1065697
2052,서울특별시 강남구 자곡로 175,37.4737864,127.1017461
2390,서울특별시 강남구 자곡로3길 21,37.4712137,127.0883937
2398,서울특별시 강남구 압구정로79길 88,37.5255149,127.0511273
2402,서울특별시 강남구 삼성로135길 28,37.5198819,127.0470441
2403,서울특별시 강남구 도산대로101길 34,37.5266336,127.053899
2404,서울특별시 강남구 도산대로81길 26,37.525985,127.0475321
2406,서울특별시 강남구 도산대로83길 35,37.5266181,127.0484982
2407,서울특별시 강남구 도산대로92길 10,37.5234145,127.0499066
2409,서울특별시 강남구 학동로81길 9,37.5204011,127.0502876
2414,서울특별시 강남구 영동대로142길 16,37.5244098,127.0561536
2415,서울특별시 강남구 영동대로142길 21,37.5247543,127.0550643
2416,서울특별시 강남구 영동대로142길 19,37.5243812,127.0551618
2418,서울특별시 강남구 도산대로89길 12,37.5252602,127.0508448
2420,서울특별시 강남구 압구정로79길 76,37.5254584,127.05376
2422,서울특별시 강남구 도산대로96길 39,37.5222908,127.0505578
2426,서울특별시 강남구 학동로 405,37.5177883,127.04297
2427,서울특별시 강남구 학동로77길 49,37.5217307,127.0475873
2429,서울특별시 강남구 압구정로77길 43,37.5279441,127.0481159
2430,서울특별시 강남구 압구정로77길 27,37.5268591,127.0478762
2432,서울특별시 강남구 압구정로79길 72,37.525289,127.0534137
2436,서울특별시 강남구 학동로105길 30,37.5229673,127.0586448
2438,서울특별시 강남구 도산대로61길 13,37.5248128,127.0427434
2439,서울특별시 강남구 선릉로190길 72,37.5287026,127.0474229
2441,서울특별시 강남구 압구정로71길 30-11,37.5284055,127.0474504
2443,서울특별시 강남구 학동로63길 13,37.5189225,127.0447282
2445,서울특별시 강남구 학동로 513,37.5197473,127.0533932
2447,서울특별시 강남구 학동로87길 9,37.5201469,127.0516426
2450,서울특별시 강남구 도산대로89길 49,37.5275013,127.0525508
2453,서울특별시 강남구 도산대로70길 25,37.5212802,127.0453486
2454,서울특별시 강남구 도산대로78길 51,37.5207111,127.0461817
2456,서울특별시 강남구 학동로73길 33,37.5205658,127.0469381
2457,서울특별시 강남구 도산대로99길 42,37.526734,127.0497932
